,MSE,R2
Linear Regression,500897233.1887541,0.5952930181290651
Polynomial Degree 2,2099576964.6841986,-0.6963828112479937
Polynomial Degree 3,1061550796.1952825,0.14230506705756296
KNN K=3,595665448.5228758,0.5187237023813887
KNN K=5,627419363.8211764,0.4930676788071521
KNN K=7,719472955.7310926,0.4186916813294377
